,Codes,Names
764,E01002842,Kensington and Chelsea 021C
765,E01002843,Kensington and Chelsea 021D
766,E01002913,Kensington and Chelsea 021E
767,E01003015,Lambeth 002A
768,E01003108,Lambeth 002B
769,E01003110,Lambeth 002C
770,E01003111,Lambeth 002D
771,E01003112,Lambeth 002E
772,E01003101,Lambeth 003A
773,E01003105,Lambeth 003B
774,E01003106,Lambeth 003C
775,E01003107,Lambeth 003D
776,E01003109,Lambeth 003E
777,E01003102,Lambeth 004A
778,E01003104,Lambeth 004C
779,E01003122,Lambeth 004D
780,E01003129,Lambeth 004E
781,E01033207,Lambeth 004F
782,E01033208,Lambeth 004G
783,E01003098,Lambeth 005A
784,E01003099,Lambeth 005B
785,E01003100,Lambeth 005C
786,E01003180,Lambeth 005D
787,E01003183,Lambeth 005E
788,E01003097,Lambeth 006A
789,E01003121,Lambeth 006B
790,E01003123,Lambeth 006C
791,E01003124,Lambeth 006D
792,E01003125,Lambeth 006E
793,E01003181,Lambeth 007A
794,E01003184,Lambeth 007B
795,E01003185,Lambeth 007C
796,E01003186,Lambeth 007D
797,E01003187,Lambeth 007E
798,E01003089,Lambeth 008A
799,E01003091,Lambeth 008B
800,E01003092,Lambeth 008C
801,E01003126,Lambeth 008D
802,E01003128,Lambeth 008E
803,E01003046,Lambeth 009A
804,E01003048,Lambeth 009B
805,E01003075,Lambeth 009C
806,E01003182,Lambeth 009D
807,E01003188,Lambeth 009E
808,E01003088,Lambeth 010A
809,E01003093,Lambeth 010B
810,E01003094,Lambeth 010C
811,E01003096,Lambeth 010D
812,E01003127,Lambeth 010E
813,E01003045,Lambeth 011A
814,E01003047,Lambeth 011B
815,E01003049,Lambeth 011C
816,E01003059,Lambeth 011D
817,E01003060,Lambeth 011E
818,E01003061,Lambeth 011F
819,E01003034,Lambeth 012A
820,E01003035,Lambeth 012B
821,E01003036,Lambeth 012C
822,E01003090,Lambeth 012D
823,E01003095,Lambeth 012E
824,E01003037,Lambeth 013A
825,E01003038,Lambeth 013B
826,E01003039,Lambeth 013C
827,E01003040,Lambeth 013D
828,E01003042,Lambeth 013E
829,E01003072,Lambeth 014A
830,E01003073,Lambeth 014B
831,E01003076,Lambeth 014C
832,E01003077,Lambeth 014D
833,E01003078,Lambeth 014E
834,E01003019,Lambeth 015A
835,E01003053,Lambeth 015B
836,E01003054,Lambeth 015C
837,E01003056,Lambeth 015D
838,E01003058,Lambeth 015E
839,E01003020,Lambeth 016A
840,E01003050,Lambeth 016B
841,E01003052,Lambeth 016C
842,E01003055,Lambeth 016D
843,E01003176,Lambeth 016E
844,E01003029,Lambeth 017A
845,E01003032,Lambeth 017B
846,E01003041,Lambeth 017C
847,E01003057,Lambeth 017D
